N,Time(ms)
1000,5171
2000,12696
3000,20245
4000,47415
5000,45338
6000,65730
7000,81068
8000,112237
9000,124496
10000,168574
11000,177102
12000,180156
13000,223330
14000,259116
15000,277525
16000,296114
17000,321724
18000,346724
19000,409836
20000,473586
