N,Time(ms)
1000,3987
2000,49316
3000,27559
4000,46767
5000,56293
6000,80755
7000,127297
8000,133493
9000,165360
10000,276227
11000,279359
12000,297582
13000,376701
14000,422228
15000,424881
16000,525620
17000,528957
18000,508471
19000,613010
20000,644548
