N,Time(ms)
1000,4108
2000,9968
3000,26067
4000,36020
5000,53469
6000,79508
7000,108381
8000,118283
9000,158548
10000,210192
11000,228774
12000,265891
13000,291800
14000,304267
15000,354603
16000,376622
17000,430962
18000,448796
19000,511056
20000,561815
