N,Time(ms)
1000,5623
2000,15946
3000,34338
4000,210072
5000,60887
6000,72524
7000,110331
8000,154398
9000,163941
10000,209270
11000,400948
12000,231183
13000,368087
14000,240545
15000,333051
16000,385909
17000,432124
18000,413682
19000,791730
20000,464133
