N,Time(ms)
1000,5168
2000,11361
3000,20767
4000,32255
5000,50989
6000,66941
7000,94707
8000,122515
9000,135543
10000,179527
11000,192755
12000,206204
13000,255005
14000,249124
15000,292449
16000,331352
17000,371950
18000,392342
19000,427580
20000,472142
