N,Time(ms)
1000,5356
2000,18950
3000,36628
4000,59050
5000,96243
6000,135210
7000,184580
8000,220165
9000,280357
10000,362339
11000,468085
12000,459758
13000,449798
14000,503201
15000,545291
16000,656800
17000,680591
18000,760305
19000,828669
20000,828440
